table_key,page_start,page_end,title_guess,section,table_family,column_pattern,entities,periods,continuation_candidate,continuation_group,confidence,review_reasons
2025-2026-p039,39,39,2025/2026 Operating Budget,Operating Budget,operating_detail,"item | budget (2025-2026, 2025/2026)","[""City of Charlottetown""]","[""2025-2026"", ""2025/2026""]",False,continuation-006,high,[]
2025-2026-p040,40,40,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-006,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p041,41,41,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-006,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p043,43,43,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,high,[]
2025-2026-p044,44,44,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-007,high,[]
2025-2026-p045,45,45,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",True,continuation-007,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p046,46,46,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-007,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p048,48,48,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
2025-2026-p049,49,49,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-008,high,[]
2025-2026-p050,50,50,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-008,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p051,51,51,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-008,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p053,53,53,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
2025-2026-p054,54,54,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-009,high,[]
2025-2026-p055,55,55,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-009,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p057,57,57,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
2025-2026-p058,58,58,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-010,high,[]
2025-2026-p059,59,59,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-010,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p061,61,61,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,continuation-011,medium,[]
2025-2026-p062,62,62,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",True,continuation-011,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p063,63,63,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-012,high,[]
2025-2026-p064,64,64,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p065,65,65,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p066,66,66,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p067,67,67,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p068,68,68,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p069,69,69,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p070,70,70,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p072,72,72,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
2025-2026-p073,73,73,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget | variance (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-013,high,[]
2025-2026-p074,74,74,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget | variance (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-013,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p075,75,75,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-013,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p077,77,77,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
2025-2026-p078,78,78,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-014,high,[]
2025-2026-p079,79,79,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p080,80,80,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p081,81,81,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p083,83,83,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
2025-2026-p084,84,84,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-015,high,[]
2025-2026-p085,85,85,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p086,86,86,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p087,87,87,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p089,89,89,2025/2026 Operating Budget,Operating Budget,operating_detail,"item | budget | forecast (2024/25, 2025/2026, 2025/26)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",False,,high,[]
2025-2026-p090,90,90,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,high,[]
2025-2026-p091,91,91,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",False,continuation-016,high,[]
2025-2026-p092,92,92,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p093,93,93,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p094,94,94,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p095,95,95,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p097,97,97,Charlottetown Civic Centre Management Inc.,Operating Budget,operating_statement,"item | budget (2023, 2025-26)","[""City of Charlottetown""]","[""2023"", ""2025-26""]",False,,high,[]
2025-2026-p098,98,98,"Total Trade Centre Revenue 209,500.00",Operating Budget,operating_statement,item | amount (unlabeled period),[],[],False,,high,[]
2025-2026-p099,99,99,"Total Large Events 93,000.00",Operating Budget,operating_statement,item | amount (unlabeled period),[],[],False,continuation-017,high,[]
2025-2026-p100,100,100,"Permanent Salaries CCCMI 441,200.00",Operating Budget,operating_statement,item | amount (unlabeled period),[],[],True,continuation-017,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p101,101,101,"Total Repairs & Maintenance 172,500.00",Operating Budget,operating_statement,item | amount (unlabeled period),[],[],True,continuation-017,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p103,103,103,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2024-25"", ""2025-26"", ""2025/26""]",False,continuation-018,high,[]
2025-2026-p104,104,104,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre""]","[""2024-25"", ""2025-26"", ""2025/26""]",True,continuation-018,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p105,105,105,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre""]","[""2024-25"", ""2025-26"", ""2025/26""]",True,continuation-018,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p106,106,106,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre""]","[""2024-25"", ""2025-26"", ""2025/26""]",True,continuation-018,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p108,108,108,City of Charlottetown and Charlottetown Water & Sewer,Capital Budget,capital_budget_schedule,"item | budget (2024/25, 2025/2026, 2025/26)","[""Bell Aliant Centre"", ""Eastlink Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",False,continuation-019,medium,[]
2025-2026-p109,109,109,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-019,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p110,110,110,Bikeshare Program,Capital Budget,capital_project_profile,profile field | narrative value,[],[],False,continuation-020,medium,[]
2025-2026-p111,111,111,Public Transit Buses,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2025"", ""2026""]",True,continuation-020,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p112,112,112,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-021,medium,[]
2025-2026-p113,113,113,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-021,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p114,114,114,New Fire Station,Capital Budget,capital_project_profile,profile field | narrative value,[],[],False,continuation-022,medium,[]
2025-2026-p115,115,115,Fire Engine Replacement,Capital Budget,capital_project_profile,profile field | narrative value,[],[],True,continuation-022,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p116,116,116,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-023,medium,[]
2025-2026-p117,117,117,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-023,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p118,118,118,East Royalty Landfill Old Road and,Capital Budget,capital_project_profile,profile field | narrative value,[],[],False,continuation-024,medium,[]
2025-2026-p119,119,119,Artificial Turf Field,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2025""]",True,continuation-024,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p120,120,120,Multi-Use Outdoor Facility,Capital Budget,capital_project_profile,profile field | narrative value,[],[],True,continuation-024,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p121,121,121,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-025,medium,[]
2025-2026-p122,122,122,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-025,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p123,123,123,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-025,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p124,124,124,Heartz Hall Upgrades – Phase 2,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",False,continuation-026,medium,[]
2025-2026-p125,125,125,Sherwood Recreation Hall Upgrades,Capital Budget,capital_project_profile,profile field | narrative value,[],[],True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p126,126,126,Brownfield Development,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p127,127,127,Pownal Street Parkade,Capital Budget,capital_project_profile,profile field | narrative value,[],[],True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p128,128,128,Queen Street Parkade Upgrades,Capital Budget,capital_project_profile,profile field | narrative value,[],[],True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p129,129,129,Parks and Recreation Small Fleet,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p130,130,130,Public Works Small Fleet Replacement,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p131,131,131,Public Works Large Fleet Replacement,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2025-26""]",True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p132,132,132,Construction of New Sidewalks,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2025"", ""2025/26""]",True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p133,133,133,Street Resurfacing,Capital Budget,capital_project_profile,profile field | narrative value,[],[],True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p134,134,134,Exhibition Drive Reconstruction,Capital Budget,capital_project_profile,profile field | narrative value,[],[],True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p135,135,135,New Traffic Lights,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p136,136,136,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",False,,medium,[]
2025-2026-p137,137,137,Wellfield Protection,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],False,continuation-027,medium,[]
2025-2026-p138,138,138,Water Distribution System Upgrades,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],True,continuation-027,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p139,139,139,Collector Sewer Liftstations,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],True,continuation-027,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p140,140,140,Aeration Tank Rehabilitation,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],True,continuation-027,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p142,142,142,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2025/2026""]",False,continuation-028,medium,[]
2025-2026-p143,143,143,2025/2026 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2025/2026),"[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2025/2026""]",True,continuation-028,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p145,145,145,2025/2026 Operating Budget,Appendix - Taxes and Rates,tax_assessment_rate,class | assessment | rate | revenue,"[""City of Charlottetown""]","[""2025/2026""]",False,,medium,[]
2025-2026-p147,147,147,2025/2026 Operating Budget,Appendix - Debt,debt_schedule,instrument | balance | principal | interest,"[""City of Charlottetown""]","[""2010"", ""2012"", ""2013"", ""2016"", ""2018"", ""2020"", ""2023"", ""2025"", ""2025/2026"", ""2025/26"", ""2030"", ""2031"", ""2032"", ""2033"", ""2036"", ""2038"", ""2039"", ""2041"", ""2047"", ""2054""]",False,,high,[]
2025-2026-p149,149,149,2025/2026 Operating Budget,Appendix - Debt,debt_schedule,instrument | balance | principal | interest,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2010"", ""2012"", ""2013"", ""2018"", ""2020"", ""2023"", ""2025"", ""2025/2026"", ""2025/26"", ""2030"", ""2031"", ""2032"", ""2033"", ""2038"", ""2047"", ""2054""]",False,,high,[]
